title,emulator,download_link
"2 Games in 1 - Disneys Prinzessinnen + Der Koenig der Loewen (Germany) (De+En Fr De Es It Nl Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Disneys%20Prinzessinnen%20%2B%20Der%20Koenig%20der%20Loewen%20%28Germany%29%20%28De%2BEn%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%29.zip"
"2 Games in 1 - Dr. Mario + Puzzle League (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Dr.%20Mario%20%2B%20Puzzle%20League%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (En+En Es It Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Finding%20Nemo%20%2B%20Finding%20Nemo%20-%20The%20Continuing%20Adventures%20%28Europe%29%20%28En%2BEn%2CEs%2CIt%2CSv%2CDa%29.zip"
"2 Games in 1 - Finding Nemo + Finding Nemo - The Continuing Adventures (Europe) (Es It+En Es It Sv Da)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Finding%20Nemo%20%2B%20Finding%20Nemo%20-%20The%20Continuing%20Adventures%20%28Europe%29%20%28Es%2CIt%2BEn%2CEs%2CIt%2CSv%2CDa%29.zip"
"2 Games in 1 - Monsters & Co. + Alla Ricerca di Nemo (Italy) (En Fr It+Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Monsters%20%26%20Co.%20%2B%20Alla%20Ricerca%20di%20Nemo%20%28Italy%29%20%28En%2CFr%2CIt%2BEs%2CIt%29.zip"
"2 Games in 1 - Monsters en Co. + Finding Nemo (Netherlands) (En Es Nl+Fr Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Monsters%20en%20Co.%20%2B%20Finding%20Nemo%20%28Netherlands%29%20%28En%2CEs%2CNl%2BFr%2CNl%29.zip"
"2 Games in 1 - Monstruos  S.A. + Buscando a Nemo (Spain) (En Es Nl+Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Monstruos%2C%20S.A.%20%2B%20Buscando%20a%20Nemo%20%28Spain%29%20%28En%2CEs%2CNl%2BEs%2CIt%29.zip"
"2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En Fr De Es It+En)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Moto%20GP%20%2B%20GT%20Advance%203%20-%20Pro%20Concept%20Racing%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2BEn%29.zip"
"2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Desatado (Spain) (Es+En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Scooby-Doo%20%2B%20Scooby-Doo%202%20-%20Desatado%20%28Spain%29%20%28Es%2BEn%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Scooby-Doo + Scooby-Doo 2 - Les Monstres Se Dechainent (France) (Fr+En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Scooby-Doo%20%2B%20Scooby-Doo%202%20-%20Les%20Monstres%20Se%20Dechainent%20%28France%29%20%28Fr%2BEn%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Sonic Advance + ChuChu Rocket! (Europe) (En Ja Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Sonic%20Advance%20%2B%20ChuChu%20Rocket%21%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%29.zip"
"2 Games in 1 - Sonic Advance + Sonic Battle (Europe) (En Ja Fr De Es+En Ja Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Sonic%20Advance%20%2B%20Sonic%20Battle%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2BEn%2CJa%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Sonic Advance + Sonic Pinball Party (Europe) (En Ja Fr De Es+En Ja Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Sonic%20Advance%20%2B%20Sonic%20Pinball%20Party%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2BEn%2CJa%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Sonic Battle + ChuChu Rocket! (Europe) (En Ja Fr De Es It+En Ja Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Sonic%20Battle%20%2B%20ChuChu%20Rocket%21%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2BEn%2CJa%2CFr%2CDe%2CEs%29.zip"
"2 Games in 1 - Sonic Battle + Sonic Pinball Party (Europe) (En Ja Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Sonic%20Battle%20%2B%20Sonic%20Pinball%20Party%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in 1 - Sonic Pinball Party + Columns Crown (Europe) (En Ja Fr De Es It+En)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20Sonic%20Pinball%20Party%20%2B%20Columns%20Crown%20%28Europe%29%20%28En%2CJa%2CFr%2CDe%2CEs%2CIt%2BEn%29.zip"
"2 Games in 1 - SpongeBob SquarePants - Battle for Bikini Bottom + Jimmy Neutron Boy Genius (Europe) (En Fr De+En Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20SpongeBob%20SquarePants%20-%20Battle%20for%20Bikini%20Bottom%20%2B%20Jimmy%20Neutron%20Boy%20Genius%20%28Europe%29%20%28En%2CFr%2CDe%2BEn%2CFr%2CDe%2CEs%29.zip"
"2 Games in 1 - The Lion King + Disney Princess (Europe) (En Fr De Es It Nl Sv Da+En)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20The%20Lion%20King%20%2B%20Disney%20Princess%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%2CSv%2CDa%2BEn%29.zip"
"2 Games in 1 - The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy (Europe) (En Fr De Es It Nl+En Fr De Es Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%201%20-%20The%20SpongeBob%20SquarePants%20Movie%20%2B%20SpongeBob%20SquarePants%20and%20Friends%20in%20Freeze%20Frame%20Frenzy%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%2BEn%2CFr%2CDe%2CEs%2CNl%29.zip"
